time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
18:27:11:6320,-7.1295,12.3595,6.0014,15.479
18:27:11:6420,-7.4377,12.8910,6.7101,16.326
18:27:11:6520,-8.0788,13.3154,7.7850,17.412
18:27:11:6610,-8.9331,13.5673,8.8229,18.486
18:27:11:6730,-10.2076,13.3393,10.5959,19.860
18:27:11:6820,-11.0510,13.1028,13.1559,21.608
18:27:11:6929,-12.3704,12.6187,15.6274,23.590
18:27:11:7020,-13.4204,12.2714,17.1140,24.972
18:27:11:7120,-13.2164,11.8336,18.6394,25.732
18:27:11:7320,-12.1783,11.8254,18.8098,25.337
18:27:11:7330,-9.2792,12.5430,17.3592,23.340
18:27:11:7420,-6.2953,13.4872,15.4534,21.456
18:27:11:7530,-3.4232,14.1694,12.8922,19.460
18:27:11:7630,-0.9822,14.6807,10.9693,18.352
18:27:11:7720,1.4359,15.2796,9.7143,18.163
18:27:11:7810,3.3097,15.4733,9.9138,18.672
18:27:11:7920,3.6445,15.8670,10.5807,19.416
18:27:11:8020,2.5729,16.0602,10.7933,19.520
18:27:11:8129,2.0749,16.7323,11.7865,20.572
18:27:11:8280,4.8775,18.7045,13.0002,23.295
18:27:11:8310,10.1661,20.8053,14.1099,27.116
18:27:11:8410,13.9648,20.4577,13.6386,28.276
18:27:11:8540,17.3491,19.6949,12.3829,29.021
18:27:11:8610,19.4804,18.1282,10.2814,28.528
18:27:11:8730,19.4332,18.1170,10.2095,28.462
18:27:11:8830,16.4454,12.5003,7.2483,21.892
18:27:11:8920,12.8566,9.1911,6.4285,17.061
18:27:11:9020,10.2785,6.8268,6.5367,13.964
18:27:11:9130,7.4208,4.2787,6.9222,11.013
18:27:11:9370,5.3471,2.6812,7.0730,9.263
18:27:11:9380,3.2338,0.7883,7.4726,8.180
18:27:11:9410,1.5490,-1.0935,7.4755,7.712
18:27:11:9520,-0.4768,-3.0416,6.7998,7.464
18:27:11:9610,-2.6591,-4.8181,5.4691,7.759
18:27:11:9790,-4.3939,-6.2091,4.1141,8.648
18:27:11:9810,-5.9149,-7.2804,2.9863,9.844
18:27:11:9920,-7.8386,-8.4499,2.1380,11.722
18:27:12:0010,-8.8524,-9.1262,1.6351,12.819
18:27:12:0130,-9.3374,-9.6902,1.2050,13.511
18:27:12:0260,-9.5790,-10.1342,0.5844,13.957
18:27:12:0320,-10.5456,-10.5302,-0.5619,14.913
18:27:12:0400,-11.2590,-10.6467,-1.5163,15.570
18:27:12:0530,-11.7169,-10.5347,-2.6221,15.973
18:27:12:0620,-12.1086,-10.3638,-3.1191,16.241
18:27:12:0720,-12.2583,-10.3287,-3.5381,16.415
18:27:12:0810,-11.7279,-10.2898,-3.6030,16.013
18:27:12:0930,-10.1174,-9.8398,-2.7704,14.383
18:27:12:1030,-8.6217,-9.0271,-1.8938,12.626
18:27:12:1160,-6.8933,-8.4200,-0.5881,10.898
18:27:12:1340,-5.5032,-7.9122,0.4505,9.648
18:27:12:1350,-3.8484,-7.4701,1.0228,8.465
18:27:12:1419,-2.6283,-6.8566,0.6130,7.369
18:27:12:1520,-1.2787,-5.7784,-1.3281,6.065
18:27:12:1610,0.7685,-4.3665,-3.4659,5.628
18:27:12:1719,3.1429,-2.8239,-6.0708,7.396
18:27:12:1820,5.1662,-1.4558,-6.6632,8.556
18:27:12:1920,9.9716,1.4966,-3.1977,10.578
18:27:12:2020,16.0570,4.2930,3.0099,16.891
18:27:12:2130,25.2408,8.7864,13.2983,29.852
18:27:12:2300,30.0090,12.2289,19.0823,37.606
18:27:12:2320,30.7570,16.1623,19.7570,39.969
18:27:12:2410,27.0620,17.7094,15.3469,35.798
18:27:12:2530,21.6353,18.2541,8.5888,29.582
18:27:12:2610,19.0699,18.8107,3.1988,26.977
18:27:12:2740,17.6383,19.4374,1.1089,26.271
18:27:12:2819,15.8636,19.1305,2.6827,24.997
18:27:12:2920,13.0488,17.9173,6.7233,23.163
18:27:12:3020,10.5770,16.8563,9.7782,22.173
18:27:12:3120,7.1416,15.5718,12.8435,21.411
18:27:12:3340,3.7793,14.4238,14.2543,20.628
18:27:12:3350,-0.5246,13.3382,15.2111,20.238
18:27:12:3410,-3.5578,12.5023,14.7652,19.672
18:27:12:3530,-5.8052,12.1138,14.6097,19.847
18:27:12:3620,-7.4141,12.1372,14.1455,20.059
18:27:12:3730,-8.6818,12.3050,13.2120,20.034
18:27:12:3810,-9.7056,12.6972,12.8790,20.525
18:27:12:3920,-10.2219,13.4810,12.6222,21.108
18:27:12:4020,-11.3198,13.9270,12.3543,21.788
18:27:12:4120,-12.1357,14.6727,12.8395,22.966
18:27:12:4340,-12.4310,15.0636,13.3911,23.680
18:27:12:4360,-13.3063,15.0261,14.1893,24.580
18:27:12:4410,-13.5629,14.6246,14.8724,24.880
18:27:12:4530,-12.3861,14.2093,16.1235,24.805
18:27:12:4610,-9.6003,14.1469,17.1151,24.191
18:27:12:4730,-5.8886,14.5292,16.0038,22.403
18:27:12:4820,-3.8462,14.4754,13.8813,20.421
18:27:12:4920,-1.7658,14.5217,11.4273,18.563
18:27:12:5020,0.6246,14.5911,9.0727,17.193
18:27:12:5140,2.2726,14.6609,8.0674,16.888
18:27:12:5210,3.0879,14.7962,8.4200,17.302
18:27:12:5340,2.9068,15.0291,10.0446,18.309
18:27:12:5420,2.1402,14.8865,10.7571,18.491
18:27:12:5530,2.2898,16.0903,12.0802,20.250
18:27:12:5610,4.8826,17.3189,14.3312,23.004
18:27:12:5750,11.7777,17.8593,16.7180,27.151
18:27:12:5810,19.9500,18.6620,17.7176,32.560
18:27:12:5920,25.3974,18.0506,14.5093,34.371
18:27:12:6010,25.4602,16.7518,10.0919,32.104
18:27:12:6130,23.3968,13.9032,5.2215,27.712
18:27:12:6210,21.1763,11.4019,3.3456,24.282
18:27:12:6360,16.7888,7.9672,3.7602,18.960
18:27:12:6410,12.4416,5.0028,4.5940,14.175
18:27:12:6520,7.1501,1.9370,5.3591,9.143
18:27:12:6620,3.5569,0.1310,5.7463,6.759
18:27:12:6810,1.2066,-1.3330,5.9729,6.238
18:27:12:6820,-0.5227,-2.8768,5.9171,6.600
18:27:12:6909,-2.1039,-4.2104,5.4868,7.229
18:27:12:7010,-3.3824,-5.3438,4.4733,7.746
18:27:12:7130,-4.5538,-6.3955,2.8637,8.357
18:27:12:7210,-5.7548,-7.0705,1.7616,9.285
18:27:12:7320,-7.2331,-7.7803,0.9994,10.670
18:27:12:7430,-7.2850,-7.8074,0.8452,10.712
18:27:12:7520,-9.0376,-9.4757,1.0855,13.139
18:27:12:7620,-10.0640,-10.4668,1.0524,14.558
18:27:12:7730,-11.4871,-11.6387,0.7118,16.368
18:27:12:7810,-12.6665,-12.0206,0.1159,17.463
18:27:12:7920,-13.6966,-12.1267,-0.8507,18.313
18:27:12:8020,-14.6539,-12.1056,-2.0966,19.123
18:27:12:8120,-15.0303,-12.1192,-3.8357,19.685
18:27:12:8210,-13.8998,-11.8589,-4.6853,18.862
18:27:12:8330,-10.9720,-11.2948,-3.7873,16.196
18:27:12:8420,-8.2961,-10.7686,-2.1486,13.762
18:27:12:8530,-3.9624,-9.4182,0.4617,10.228
18:27:12:8610,-0.3718,-7.5549,1.9001,7.799
18:27:12:8770,1.7046,-6.3466,1.6026,6.764
18:27:12:8810,2.2177,-5.3119,0.0804,5.757
18:27:12:8980,2.6717,-3.3084,-3.4086,5.450
18:27:12:9010,3.8219,-0.9552,-4.5981,6.055
18:27:12:9120,9.5430,3.1707,-1.9212,10.238
18:27:12:9210,17.0721,6.3287,3.7495,18.589
18:27:12:9330,25.9424,10.4312,11.5353,30.247
18:27:12:9500,30.2894,13.9192,14.9789,36.545
18:27:12:9520,30.9371,17.8269,15.6063,38.967
18:27:12:9610,26.5705,19.4686,12.5587,35.253
18:27:12:9720,19.2832,19.5330,7.2493,28.389
18:27:12:9810,14.8988,19.3219,4.0234,24.728
18:27:12:9930,11.4065,18.8209,3.3757,22.265
18:27:13:0010,8.3663,17.6555,4.1407,19.971
18:27:13:0120,5.5847,16.6228,5.5442,18.391
18:27:13:0220,3.6781,16.0371,5.8649,17.467
18:27:13:0370,1.3974,15.2798,5.5084,16.302
18:27:13:0420,-0.2151,14.5875,5.0611,15.442
18:27:13:0520,-1.8938,13.8968,4.7145,14.796
18:27:13:0610,-2.7691,13.1735,5.3885,14.500
18:27:13:0740,-3.9147,12.4341,7.0722,14.831
18:27:13:0810,-4.4729,12.0667,8.4359,15.388
18:27:13:0920,-4.2919,12.1593,10.2537,16.474
18:27:13:1019,-4.5421,12.8888,11.6081,17.930
18:27:13:1120,-5.1674,13.9110,10.9483,18.441
18:27:13:1210,-6.5931,14.6091,9.2907,18.526
18:27:13:1340,-8.5731,15.6718,7.9242,19.542
18:27:13:1520,-9.8225,16.6669,9.0435,21.355
18:27:13:1530,-11.0677,17.4366,11.9302,23.851
18:27:13:1610,-11.0090,17.6739,14.5772,25.418
18:27:13:1750,-9.6381,17.7147,17.3118,26.578
18:27:13:1810,-8.0211,17.6015,18.0185,26.435
18:27:13:1930,-6.1911,17.4134,16.6845,24.898
18:27:13:2020,-3.0813,17.5172,15.0330,23.288
18:27:13:2130,0.0503,17.4878,13.1094,21.856
18:27:13:2210,2.3789,17.5959,10.6071,20.683
18:27:13:2360,4.2629,18.3547,7.9541,20.453
18:27:13:2410,5.0710,19.1424,6.5806,20.867
18:27:13:2540,4.9208,19.7550,6.3039,21.312
18:27:13:2620,4.4762,19.1169,7.8920,21.161
18:27:13:2730,5.8155,17.8029,12.4722,22.502
18:27:13:2810,10.5154,16.8493,16.9889,26.136
18:27:13:2920,15.5128,15.4720,19.6071,29.402
18:27:13:3010,19.1343,14.3251,18.6758,30.333
18:27:13:3130,20.1034,12.8947,13.4020,27.387
18:27:13:3230,18.5672,11.5353,9.1680,23.704
18:27:13:3360,15.6654,8.8965,5.4731,18.828
18:27:13:3570,12.7035,6.7685,4.7278,15.151
18:27:13:3590,8.5495,4.2634,5.2804,10.916
18:27:13:3610,5.7140,2.5237,5.8649,8.568
18:27:13:3720,3.0782,1.3961,6.8101,7.603
18:27:13:3820,1.9047,0.6363,7.2306,7.504
18:27:13:4030,1.2687,-0.3703,7.1971,7.317
18:27:13:4040,0.3119,-1.5491,6.6445,6.830
18:27:13:4130,-0.7965,-2.8116,5.2445,6.004
18:27:13:4210,-2.2218,-3.9646,3.8081,5.929
18:27:13:4320,-4.1957,-5.0408,2.4630,7.006
18:27:13:4510,-5.5216,-5.7678,1.5789,8.139
18:27:13:4520,-6.9237,-6.5949,0.5871,9.580
18:27:13:4610,-7.8501,-7.3364,-0.5177,10.757
18:27:13:4730,-8.8648,-8.4315,-1.5136,12.327
18:27:13:4810,-9.4211,-9.0280,-1.9278,13.190
18:27:13:5000,-9.7558,-9.4447,-1.9553,13.719
18:27:13:5010,-10.0010,-9.7923,-1.8879,14.124
18:27:13:5120,-10.7749,-10.3654,-1.9299,15.075
18:27:13:5210,-11.6066,-10.7981,-2.1405,15.997
18:27:13:5320,-11.8772,-10.8860,-2.3774,16.286
18:27:13:5500,-11.0739,-10.3629,-2.1906,15.324
18:27:13:5520,-9.7267,-9.5383,-1.4556,13.701
18:27:13:5620,-7.8728,-8.8508,-0.3182,11.850
18:27:13:5719,-5.3445,-7.4575,0.9993,9.229
18:27:13:5820,-3.4144,-5.9912,1.9029,7.154
18:27:13:5970,-1.8051,-4.3449,1.4732,4.930
18:27:13:6010,-0.8198,-3.0469,-0.2323,3.164
18:27:13:6120,-1.7515,-2.1478,-3.2733,4.289
18:27:13:6220,-2.0645,-1.7048,-4.1536,4.942
18:27:13:6330,3.3183,0.4650,0.0750,3.352
18:27:13:6410,13.4174,4.0800,6.9124,15.635
18:27:13:6540,27.4364,10.3552,15.7683,33.296
18:27:13:6690,33.9722,15.1573,19.6343,42.064
18:27:13:6720,34.2224,18.6468,16.2244,42.215
18:27:13:6810,29.1474,19.5133,9.7391,36.403
18:27:13:6919,20.6185,18.8772,2.2387,28.044
18:27:13:7010,14.4524,17.8522,-0.9738,22.990
18:27:13:7130,10.7476,16.7584,0.3558,19.912
18:27:13:7220,8.3942,16.0363,2.8488,18.323
18:27:13:7340,5.0436,14.9870,4.4339,16.423
18:27:13:7580,2.6160,14.3582,5.8458,15.722
18:27:13:7590,0.3124,14.0401,7.3576,15.854
18:27:13:7610,-0.8805,14.0392,7.5859,15.982
18:27:13:7730,-2.5935,13.8546,7.1342,15.798
18:27:13:7820,-3.3847,13.6394,7.1536,15.769
18:27:13:7930,-3.3432,13.9579,7.1817,16.049
18:27:13:8010,-3.8565,14.3898,7.0856,16.497
18:27:13:8120,-4.5725,14.7928,7.2742,17.107
18:27:13:8210,-5.3483,15.2045,8.1756,18.073
18:27:13:8360,-6.5635,15.5605,10.0039,19.629
18:27:13:8420,-7.6490,15.8877,12.0028,21.331
18:27:13:8540,-8.5013,16.1483,14.2120,23.131
18:27:13:8620,-9.2776,16.3514,15.4566,24.338
18:27:13:8720,-10.1274,15.9928,16.7537,25.279
18:27:13:8810,-10.3242,15.7307,17.9015,25.971
18:27:13:8930,-8.7398,15.9256,18.9702,26.266
18:27:13:9020,-6.3085,16.2100,18.0023,25.033
18:27:13:9130,-3.1945,16.2979,15.8319,22.945
18:27:13:9210,-1.0951,16.0672,14.2491,21.503
18:27:13:9340,1.0081,15.6295,12.6424,20.128
18:27:13:9520,2.4303,15.0986,11.8968,19.375
18:27:13:9530,1.9063,14.2795,11.4601,18.408
18:27:13:9610,0.3969,13.8226,10.8061,17.550
18:27:13:9730,-0.2123,14.2382,10.1667,17.497
18:27:13:9820,1.3463,15.5008,9.9139,18.449
18:27:13:9940,5.0530,16.7857,11.0872,20.742
18:27:14:0010,10.4188,17.8381,11.5242,23.655
18:27:14:0130,15.6624,18.7806,11.1887,26.893
18:27:14:0210,18.9215,18.4919,10.2269,28.365
18:27:14:0320,19.1053,16.5955,8.7325,26.771
18:27:14:0560,17.5545,14.3282,7.2856,23.802
18:27:14:0580,14.9437,11.3831,6.1747,19.774
18:27:14:0620,12.2950,9.3305,5.8126,16.493
18:27:14:0730,8.2707,6.9102,5.3411,12.028
18:27:14:0810,5.4955,5.4131,5.0383,9.213
18:27:14:0980,3.0015,3.6450,5.2728,7.078
18:27:14:1070,1.7217,2.1562,5.4798,6.135
18:27:14:1230,0.9329,0.9190,5.0738,5.240
18:27:14:1240,-0.2022,-0.4588,3.9398,3.972
18:27:14:1320,-1.7689,-2.0534,2.6869,3.816
18:27:14:1419,-3.6134,-3.5209,1.9783,5.419
18:27:14:1520,-4.8852,-5.0781,1.5658,7.218
18:27:14:1680,-5.7943,-6.2338,1.4134,8.627
18:27:14:1719,-6.9947,-7.4922,1.2345,10.324
18:27:14:1820,-7.9489,-8.2979,1.0303,11.537
18:27:14:1970,-9.1305,-9.1508,0.5780,12.940
18:27:14:2010,-9.1577,-9.1733,0.4906,12.971
18:27:14:2120,-10.7408,-10.0332,-0.3743,14.703
18:27:14:2220,-11.4081,-10.3557,-0.5698,15.418
18:27:14:2320,-12.1811,-10.5730,-0.5352,16.139
18:27:14:2410,-12.5660,-10.8771,-0.5923,16.630
18:27:14:2520,-12.7720,-11.4842,-0.2141,17.177
18:27:14:2610,-12.4729,-11.8657,0.6186,17.226
18:27:14:2720,-11.0929,-12.0435,2.3113,16.536
18:27:14:2819,-9.3268,-11.6201,3.8635,15.393
18:27:14:2940,-7.2895,-10.6539,5.3755,13.984
18:27:14:3010,-6.1988,-10.0260,5.1798,12.875
18:27:14:3130,-3.6264,-8.3602,4.1390,10.009
18:27:14:3210,-1.7679,-6.1122,3.1725,7.110
18:27:14:3320,-1.3526,-3.6057,1.0194,3.984
18:27:14:3410,-2.0408,-2.5366,-1.6094,3.632
18:27:14:3540,-0.4335,-1.3559,-4.3965,4.621
18:27:14:3610,3.1786,0.2863,-3.6375,4.839
18:27:14:3730,12.7756,3.4499,2.4592,13.460
18:27:14:3820,21.7757,7.8224,9.3744,24.965
18:27:14:4010,31.1756,14.6372,16.2761,38.093
18:27:14:4030,34.5248,18.5604,17.4530,42.908
18:27:14:4130,32.0737,21.7420,10.8400,40.236
18:27:14:4210,27.2379,22.6472,3.1266,35.561
18:27:14:4320,22.4088,22.6141,-2.7154,31.952
18:27:14:4410,18.7668,22.2179,-4.3898,29.413
18:27:14:4580,15.5271,20.7532,-1.9421,25.991
18:27:14:4610,12.8927,19.0741,0.8801,23.040
18:27:14:4740,8.5125,16.8505,3.7945,19.256
18:27:14:4820,5.0466,15.0860,4.8547,16.632
18:27:14:4930,1.3119,13.4217,5.7200,14.649
18:27:14:5020,-0.8831,12.5323,5.9958,13.921
18:27:14:5120,-3.1260,11.6677,6.3689,13.655
18:27:14:5220,-4.2104,11.2975,7.3777,14.135
18:27:14:5340,-4.3863,11.2707,8.8126,14.964
18:27:14:5410,-4.0876,11.4591,10.2833,15.930
18:27:14:5530,-4.0561,12.0220,11.5408,17.151
18:27:14:5610,-4.8308,12.2361,12.4333,18.101
18:27:14:5729,-6.3960,12.5394,12.7988,19.025
18:27:14:5820,-7.3613,12.9407,13.1303,19.851
18:27:14:5930,-9.5496,13.1170,13.8577,21.337
18:27:14:6020,-11.1924,13.4324,14.9722,23.019
18:27:14:6130,-12.5223,14.0021,17.1426,25.431
18:27:14:6210,-11.6440,14.4152,19.0487,26.575
18:27:14:6380,-8.5372,15.1509,20.2592,26.700
18:27:14:6420,-5.3177,15.9617,19.8156,25.994
18:27:14:6520,-0.6470,17.4483,17.5972,24.790
18:27:14:6620,2.6229,18.1188,13.8545,22.959
18:27:14:6740,3.3323,17.8472,9.3917,20.441
18:27:14:6810,2.8372,17.4951,7.6742,19.314
18:27:14:6929,2.3167,17.2982,7.8888,19.153
18:27:14:7020,1.9917,17.3435,9.0624,19.670
18:27:14:7130,1.6886,18.1115,10.1906,20.850
18:27:14:7210,2.4357,18.2798,11.0008,21.473
18:27:14:7370,5.9235,18.0046,12.7626,22.850
18:27:14:7410,12.3269,17.7674,13.6997,25.599
18:27:14:7520,18.2173,17.4920,14.0694,28.910
18:27:14:7610,20.8774,16.5691,12.6408,29.499
18:27:14:7730,20.1069,14.4009,9.6764,26.558
18:27:14:7810,17.8772,11.9387,7.6139,22.806
18:27:14:7950,14.6533,8.7893,6.0162,18.115
18:27:14:8020,12.0355,6.7297,5.6496,14.902
18:27:14:8139,8.8442,4.5374,5.6693,11.443
18:27:14:8220,6.1676,3.0297,5.5243,8.817
18:27:14:8320,3.8658,1.7077,5.5353,6.964
18:27:14:8410,2.1712,0.4107,5.3341,5.774
18:27:14:8570,0.6971,-0.9806,4.8539,5.001
18:27:14:8640,-0.9949,-2.3483,3.9612,4.711
18:27:14:8720,-3.2645,-4.0920,2.6147,5.851
18:27:14:8820,-5.0564,-5.1230,1.8309,7.427
18:27:14:8920,-7.3694,-6.2344,0.7734,9.684
18:27:14:9010,-9.1716,-7.1058,-0.1556,11.603
18:27:14:9150,-10.7485,-7.9423,-0.9153,13.396
18:27:14:9210,-11.3830,-8.6685,-1.2555,14.363
18:27:14:9400,-11.8484,-9.2151,-0.9834,15.042
18:27:14:9420,-12.1975,-9.3767,-0.5636,15.395
18:27:14:9520,-12.2341,-9.4058,-0.1240,15.432
18:27:14:9610,-12.2082,-9.2478,-0.0928,15.316
18:27:14:9740,-12.3802,-9.0810,-0.6264,15.366
18:27:14:9810,-12.3135,-8.8734,-1.4254,15.244
18:27:14:9940,-11.8136,-8.7520,-1.8840,14.823
18:27:15:0020,-10.8372,-8.4962,-1.3141,13.833
18:27:15:0150,-9.6407,-8.9207,0.0411,13.135
18:27:15:0210,-8.0266,-8.8894,1.5859,12.082
18:27:15:0390,-5.5416,-7.6068,3.6134,10.081
18:27:15:0410,-3.2878,-6.3682,4.7282,8.586
18:27:15:0520,-1.0365,-4.6718,3.8837,6.163
18:27:15:0690,0.7064,-3.5162,1.0609,3.740
18:27:15:0720,2.7112,-2.4441,-3.5499,5.092
18:27:15:0810,3.1810,-1.5542,-5.4579,6.506
18:27:15:0930,6.7197,0.4086,-1.0393,6.812
18:27:15:1010,13.5287,2.5356,6.4770,15.212
18:27:15:1140,22.6600,7.1782,15.9872,28.646
18:27:15:1210,26.2665,11.0868,19.9288,34.785
18:27:15:1370,27.1920,14.7850,18.2664,35.940
18:27:15:1409,23.3001,16.8293,13.0050,31.548
18:27:15:1540,20.4760,18.6382,9.7170,29.344
18:27:15:1610,18.8504,20.2390,7.5668,28.674
18:27:15:1729,18.7026,22.0688,5.1141,29.376
18:27:15:1810,18.1251,23.2666,3.0979,29.656
18:27:15:1920,15.3698,23.7299,0.7284,28.282
18:27:15:2010,12.6714,23.2498,0.3963,26.482
18:27:15:2150,8.3800,21.3890,2.3354,23.090
18:27:15:2210,5.5320,19.6891,5.3601,21.142
18:27:15:2330,1.1003,17.0957,9.5254,19.601
18:27:15:2410,-1.8319,15.3799,12.4915,19.898
18:27:15:2540,-4.2493,14.0442,14.6008,20.700
18:27:15:2610,-6.0100,13.2603,15.0967,20.973
18:27:15:2720,-7.6757,12.7866,14.4134,20.740
18:27:15:2810,-9.2806,12.3621,12.6281,19.960
18:27:15:2930,-11.0976,11.8167,10.6373,19.389
18:27:15:3020,-12.5131,11.4811,9.4105,19.415
18:27:15:3160,-14.4151,10.8171,9.3878,20.321
18:27:15:3210,-15.1961,9.9210,10.6597,21.047
18:27:15:3510,-15.2237,8.9296,12.8792,21.849
18:27:15:3530,-14.9221,7.9150,15.2080,22.729
18:27:15:3540,-13.7010,6.9583,17.6516,23.403
18:27:15:3620,-11.8279,6.7224,18.9965,23.366
18:27:15:3720,-9.1135,7.1736,19.0917,22.338
18:27:15:3820,-6.4848,8.0700,16.5584,19.528
18:27:15:3930,-5.0523,8.7816,12.0812,15.767
18:27:15:4010,-4.3857,10.1872,9.1866,14.402
18:27:15:4120,-1.9323,13.2656,6.9713,15.110
18:27:15:4230,0.3101,15.7099,7.1871,17.279
18:27:15:4330,1.9884,17.6119,8.4775,19.647
18:27:15:4410,4.3225,18.2620,10.4967,21.503
18:27:15:4530,9.7369,19.0867,14.4617,25.851
18:27:15:4910,18.8833,20.1128,18.2076,33.055
18:27:15:4920,24.8308,19.5056,17.9890,36.341
18:27:15:4920,23.9991,17.6150,14.5995,33.157
18:27:15:4930,19.9251,14.7147,9.4319,26.505
18:27:15:5010,17.1916,12.8737,5.5060,22.172
18:27:15:5130,14.2532,11.1867,2.3080,18.265
18:27:15:5210,12.1618,10.0068,1.5129,15.822
18:27:15:5360,9.0533,8.0245,1.7806,12.228
18:27:15:5410,6.1947,6.3525,1.9906,9.093
18:27:15:5600,3.8336,4.9605,2.0980,6.611
18:27:15:5620,2.0797,3.5852,2.3553,4.767
18:27:15:5830,0.3309,1.8758,2.7291,3.328
18:27:15:5840,-0.9856,0.3056,2.6171,2.813
18:27:15:5920,-3.2540,-1.6767,2.8701,4.652
18:27:15:6010,-4.7417,-3.3195,3.0617,6.548
18:27:15:6130,-6.5554,-5.3532,3.0225,8.987
18:27:15:6210,-7.7361,-6.5956,3.3485,10.703
18:27:15:6330,-8.7590,-7.8084,3.6416,12.286
18:27:15:6420,-9.4276,-8.9893,2.6771,13.299
18:27:15:6570,-11.2720,-10.1710,1.0029,15.216
18:27:15:6620,-12.6516,-10.8789,-0.2829,16.688
18:27:15:6790,-13.8176,-11.3322,-1.2065,17.911
18:27:15:6810,-14.7149,-11.6736,-1.8197,18.871
18:27:15:6929,-15.9379,-12.3190,-2.0988,20.253
18:27:15:7010,-16.5269,-12.9116,-1.8129,21.051
18:27:15:7130,-15.6443,-13.4092,-0.3299,20.607
18:27:15:7210,-12.8918,-12.8623,1.6760,18.288
18:27:15:7320,-9.4457,-11.8775,3.7305,15.627
18:27:15:7410,-7.1074,-10.6921,4.3022,13.540
18:27:15:7530,-3.7083,-8.8346,3.9294,10.356
18:27:15:7610,-1.2804,-6.6481,2.3755,7.175
18:27:15:7780,0.6351,-3.9473,-1.7913,4.381
18:27:15:8030,0.4723,-2.6673,-5.5479,6.174
18:27:15:8040,1.4007,-1.5067,-8.7243,8.964
18:27:15:8050,5.4564,0.7698,-6.1350,8.246
18:27:15:8139,15.8139,4.6948,5.0417,17.249
18:27:15:8210,25.2294,8.6799,14.1710,30.211
18:27:15:8340,33.4031,14.6095,21.9581,42.560
18:27:15:8410,33.5154,17.8192,21.7711,43.758
18:27:15:8580,28.2666,19.3691,12.7505,36.561
18:27:15:8610,22.8536,19.9685,4.1501,30.631
18:27:15:8740,18.8710,19.6704,-1.9212,27.326
18:27:15:8810,16.5307,19.1224,-4.0486,25.599
18:27:15:8920,13.9226,17.6407,-2.6105,22.624
18:27:15:9000,10.8249,15.9958,-0.4442,19.319
18:27:15:9130,7.0104,13.9502,1.9801,15.738
18:27:15:9210,5.4955,13.5510,3.5251,15.042
18:27:15:9340,3.5533,13.0354,4.8824,14.366
18:27:15:9410,1.5767,12.4396,5.7788,13.807
18:27:15:9580,-0.6522,11.6937,6.5287,13.409
18:27:15:9610,-2.1337,11.4741,7.8133,14.045
18:27:15:9730,-3.4025,11.5902,9.2248,15.199
18:27:15:9820,-4.2355,12.2399,10.5033,16.676
18:27:15:9940,-4.7566,13.5813,11.0821,18.163
18:27:16:0010,-4.2952,15.1591,11.0610,19.251
18:27:16:0140,-4.1932,17.3810,10.5234,20.747
18:27:16:0230,-4.7927,18.3368,9.7658,21.321
18:27:16:0330,-6.9499,18.1281,9.5825,21.651
18:27:16:0410,-8.4668,17.4573,11.0450,22.326
18:27:16:0530,-9.5595,16.3530,13.3962,23.200
18:27:16:0610,-9.4845,15.4569,15.9644,24.161
18:27:16:0750,-7.6883,15.2230,18.2648,24.989
18:27:16:0820,-5.6793,15.3620,17.8414,24.219
18:27:16:0910,-2.4915,16.2700,15.3899,22.534
18:27:16:1010,0.3575,17.1378,12.0530,20.955
18:27:16:1140,1.6290,16.9535,8.1357,18.875
18:27:16:1220,2.1834,16.5922,6.1188,17.819
18:27:16:1320,2.9666,16.2835,5.7462,17.521
18:27:16:1429,3.0237,16.1908,6.9625,17.882
18:27:16:1520,2.9677,15.8841,9.9074,18.954
18:27:16:1610,2.7226,16.1606,14.0085,21.560
18:27:16:1770,2.1744,16.4174,17.0519,23.770
18:27:16:1820,5.3738,17.4271,18.2696,25.814
18:27:16:1950,12.5370,17.9722,18.1193,28.434
18:27:16:2020,17.9211,17.9734,16.2343,30.129
18:27:16:2140,22.9696,18.6218,11.5770,31.755
18:27:16:2210,23.5195,18.1267,7.4644,30.618
18:27:16:2340,21.3828,16.0316,3.6629,26.975
18:27:16:2410,19.1397,13.8073,2.1022,23.694
18:27:16:2530,15.6330,10.8568,2.6657,19.219
18:27:16:2610,11.9205,8.2518,3.6626,14.953
18:27:16:2790,8.4783,6.0557,4.3674,11.297
18:27:16:2810,5.6280,4.4132,4.8846,8.661
18:27:16:2920,3.5513,2.9784,5.4318,7.141
18:27:16:3020,2.1073,1.3302,5.7927,6.306
18:27:16:3130,0.2534,-0.5329,5.6562,5.687
18:27:16:3280,-1.4708,-1.9345,4.9188,5.486
18:27:16:3330,-3.5541,-3.6566,3.5894,6.236
18:27:16:3410,-5.1031,-4.9315,2.6414,7.572
18:27:16:3520,-6.9579,-6.6247,1.9207,9.797
18:27:16:3620,-8.4264,-7.7669,1.3537,11.540
18:27:16:3730,-9.9323,-9.0381,0.8533,13.456
18:27:16:3880,-10.7898,-9.7001,0.3017,14.512
18:27:16:3920,-11.4821,-10.1854,-0.4819,15.356
18:27:16:4020,-11.6380,-10.3437,-0.9019,15.596
18:27:16:4130,-12.3349,-10.3345,-1.7547,16.187
18:27:16:4220,-13.3117,-10.5541,-2.6556,17.194
18:27:16:4340,-14.8276,-11.4974,-3.5696,19.099
