time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
18:26:12:1510,0.7606,-9.3433,0.4851,9.387
18:26:12:1600,0.5726,-9.3251,1.6997,9.496
18:26:12:1729,0.1791,-9.0706,2.0200,9.294
18:26:12:1810,0.4758,-8.4347,1.9654,8.674
18:26:12:1910,0.2650,-7.4330,1.2931,7.549
18:26:12:2000,-1.1863,-7.0288,-0.4713,7.144
18:26:12:2120,-3.4587,-7.2754,-2.0862,8.321
18:26:12:2210,-5.4104,-7.5379,-2.5071,9.611
18:26:12:2350,-6.0012,-7.8805,-1.4616,10.013
18:26:12:2410,-5.6200,-7.8271,-0.6118,9.655
18:26:12:2510,-4.6523,-7.3660,0.7451,8.744
18:26:12:2600,-3.6866,-6.6776,1.7753,7.832
18:26:12:2720,-1.7065,-5.0634,2.0570,5.726
18:26:12:2810,0.2661,-3.0752,1.1972,3.311
18:26:12:2930,1.4035,-1.4397,0.0833,2.012
18:26:12:3020,1.6021,-0.4206,0.2925,1.682
18:26:12:3110,1.1691,0.1195,0.9653,1.521
18:26:12:3200,0.1330,0.6282,1.9839,2.085
18:26:12:3310,1.1518,2.2616,3.0098,3.937
18:26:12:3410,4.7791,5.1286,3.3281,7.760
18:26:12:3520,11.7889,9.7350,3.2831,15.637
18:26:12:3610,16.3830,13.5295,2.5797,21.403
18:26:12:3730,20.1917,16.7009,2.1148,26.289
18:26:12:3800,20.4821,17.2020,1.5928,26.795
18:26:12:3910,17.3608,16.3046,0.7965,23.830
18:26:12:4020,13.7094,15.2982,-0.4185,20.546
18:26:12:4120,8.9145,14.2582,-1.1922,16.858
18:26:12:4210,5.6202,13.8864,-1.4541,15.051
18:26:12:4330,3.0359,13.7638,-1.3316,14.157
18:26:12:4410,1.2190,13.4556,0.1918,13.512
18:26:12:4520,0.3341,13.0182,2.6220,13.284
18:26:12:4610,0.0614,12.3642,3.6357,12.888
18:26:12:4730,-0.5132,12.0142,3.5717,12.544
18:26:12:4810,-1.0171,11.4619,2.8902,11.864
18:26:12:4920,-1.5465,10.0454,1.9522,10.350
18:26:12:5010,-2.0037,8.1344,1.4007,8.494
18:26:12:5130,-2.9404,5.8229,1.2361,6.639
18:26:12:5220,-3.9464,3.3474,0.9641,5.264
18:26:12:5320,-5.1844,0.7280,0.2926,5.243
18:26:12:5420,-5.8809,-1.1479,-0.2204,5.996
18:26:12:5520,-6.3397,-2.9804,-0.6809,7.038
18:26:12:5600,-6.0179,-4.1296,-0.2740,7.304
18:26:12:5709,-5.5668,-5.1188,0.2320,7.566
18:26:12:5810,-5.6378,-5.9610,0.3017,8.210
18:26:12:5920,-5.3367,-6.7529,0.5550,8.625
18:26:12:6010,-4.7229,-6.9084,0.9751,8.425
18:26:12:6110,-3.9268,-6.7021,1.7227,7.957
18:26:12:6210,-2.7172,-6.3674,2.3778,7.320
18:26:12:6320,-1.2231,-5.8930,3.0225,6.735
18:26:12:6420,-0.6198,-5.3772,3.8647,6.651
18:26:12:6520,-1.3122,-4.7752,4.5168,6.703
18:26:12:6620,-2.1676,-4.3027,4.3914,6.519
18:26:12:6720,-2.9719,-4.0496,3.1388,5.923
18:26:12:6810,-3.0123,-4.4968,1.6954,5.672
18:26:12:6919,-2.4162,-5.2206,-0.9300,5.827
18:26:12:7010,-1.4460,-5.3502,-3.3944,6.499
18:26:12:7120,1.6342,-4.4761,-4.7736,6.745
18:26:12:7220,6.4242,-2.9773,-2.9652,7.676
18:26:12:7340,11.2978,-2.4997,-2.2342,11.785
18:26:12:7450,11.1635,-3.1463,0.8427,11.629
18:26:12:7510,9.8329,-4.7282,-0.0987,10.911
18:26:12:7620,6.7194,-6.4044,-0.8965,9.326
18:26:12:7720,3.2796,-7.8343,-2.0752,8.743
18:26:12:7840,1.5051,-8.2210,-2.7918,8.812
18:26:12:7920,0.0918,-8.6030,-2.9602,9.098
18:26:12:8010,-0.3446,-8.4971,-2.3865,8.833
18:26:12:8110,1.2458,-7.8804,-1.4276,8.105
18:26:12:8220,3.2101,-6.8877,-0.4805,7.614
18:26:12:8330,3.8920,-5.9785,0.2450,7.138
18:26:12:8430,4.0520,-5.5175,0.8792,6.902
18:26:12:8510,4.1300,-4.8999,0.9114,6.473
18:26:12:8610,3.9189,-4.4127,1.1316,6.009
18:26:12:8720,4.0310,-3.8839,2.5449,6.149
18:26:12:8810,3.7648,-2.9781,2.8735,5.595
18:26:12:8920,3.3641,-1.9145,2.3920,4.550
18:26:12:9010,2.1772,-1.3513,1.7869,3.124
18:26:12:9110,-0.0632,-1.4412,0.2252,1.460
18:26:12:9210,-1.4753,-1.4097,-1.3791,2.463
18:26:12:9310,-2.6141,-1.3529,-2.3830,3.787
18:26:12:9400,-3.4945,-1.4192,-2.7193,4.650
18:26:12:9520,-3.3754,-1.4910,-0.9779,3.817
18:26:12:9600,-3.3732,-1.2273,0.2701,3.600
18:26:12:9710,-3.0760,-0.9818,0.8599,3.341
18:26:12:9800,-2.7412,-0.5023,1.6538,3.241
18:26:12:9910,-1.9662,0.6958,2.6488,3.371
18:26:13:0010,-1.5491,1.6711,2.2146,3.177
18:26:13:0130,-1.2795,2.3794,-0.4405,2.737
18:26:13:0200,-1.9182,3.3797,-1.6712,4.230
18:26:13:0320,-1.6612,5.2333,-1.8893,5.807
18:26:13:0410,0.7505,7.4935,-1.4344,7.666
18:26:13:0520,6.2528,10.4425,0.3764,12.177
18:26:13:0600,11.7630,13.6914,3.0464,18.306
18:26:13:0720,14.8752,16.5085,4.0239,22.583
18:26:13:0810,14.7326,17.2201,2.5618,22.807
18:26:13:0920,13.4292,16.4345,-0.8576,21.241
18:26:13:1010,11.6779,15.4225,-3.2753,19.620
18:26:13:1110,8.1650,13.9544,-4.5450,16.794
18:26:13:1210,5.0806,12.3494,-3.3371,13.764
18:26:13:1330,2.7918,11.3543,-0.5073,11.703
18:26:13:1440,2.7383,10.8248,2.5256,11.448
18:26:13:1510,3.4859,10.6092,3.9324,11.839
18:26:13:1600,3.4239,9.7346,3.2725,10.826
18:26:13:1719,2.0003,8.2830,1.6736,8.684
18:26:13:1870,0.7277,6.9312,0.5897,6.994
18:26:13:1930,-0.5677,4.9773,-0.2636,5.017
18:26:13:2010,-1.4934,3.2384,-0.6334,3.622
18:26:13:2110,-2.8401,0.8864,-0.8105,3.084
18:26:13:2210,-3.6305,-1.1054,-0.7001,3.859
18:26:13:2370,-4.6092,-2.8014,-0.5463,5.421
18:26:13:2430,-5.0267,-4.4241,-0.2340,6.700
